Completions Summary,,,,,,
"Longwood University, All Students",,,,,,
Academic Year,Assoc.,Bachelors,First Prof.,Masters,Doctorate,Total
Four-Year Public Institutions,,,,,,
2005-06,0,731,0,149,0,880
2006-07,0,669,0,101,0,770
2007-08,0,746,0,144,0,890
2008-09,0,761,0,172,0,933
2009-10,0,792,0,174,0,966
2010-11,0,820,0,162,0,982
2011-12,0,872,0,151,0,1023
2012-13,0,832,0,179,0,1011
2013-14,0,912,0,146,0,1058
2014-15,0,909,0,159,0,1068
2015-16,0,932,0,184,0,1116
2016-17,0,943,0,147,0,1090
2017-18,0,929,0,175,0,1104
2018-19,0,977,0,128,0,1105
2019-20,0,821,0,158,0,979
2020-21,0,756,0,204,0,960
2021-22,0,857,0,345,0,1202
