Completions Summary,,,,,,
"University of Virginia, All Students",,,,,,
Academic Year,Assoc.,Bachelors,First Prof.,Masters,Doctorate,Total
Four-Year Public Institutions,,,,,,
2005-06,0,3423,513,1721,327,5984
2006-07,0,3367,504,1635,348,5854
2007-08,0,3528,532,1835,393,6288
2008-09,0,3561,547,1727,360,6195
2009-10,0,3561,514,1761,347,6183
2010-11,0,3637,512,1616,421,6186
2011-12,0,3726,511,1742,393,6372
2012-13,0,3738,509,1635,399,6281
2013-14,0,3697,495,1651,424,6267
2014-15,0,3836,525,1760,366,6487
2015-16,0,3963,482,1802,315,6562
2016-17,0,4015,448,1776,361,6600
2017-18,0,4178,456,1985,360,6979
2018-19,0,4148,431,2085,343,7007
2019-20,0,4171,468,2186,338,7163
2020-21,0,4453,467,2171,327,7418
2021-22,0,4478,492,2405,367,7742
