Completions Summary,,,,,,
"Virginia Commonwealth University, All Students",,,,,,
Academic Year,Assoc.,Bachelors,First Prof.,Masters,Doctorate,Total
Four-Year Public Institutions,,,,,,
2005-06,0,3128,388,1438,197,5151
2006-07,0,3322,357,1478,192,5349
2007-08,0,3568,397,1542,252,5759
2008-09,0,3725,396,1557,227,5905
2009-10,0,4032,407,1721,280,6440
2010-11,0,4374,401,1769,329,6873
2011-12,0,4658,415,1740,333,7146
2012-13,0,4682,434,1657,324,7097
2013-14,0,4780,420,1610,329,7139
2014-15,0,5033,432,1563,282,7310
2015-16,0,5207,412,1557,306,7482
2016-17,0,5190,437,1453,306,7386
2017-18,0,5075,444,1420,326,7265
2018-19,0,5255,435,1400,353,7443
2019-20,0,4942,442,1373,374,7131
2020-21,0,5367,423,1280,370,7440
2021-22,0,5019,392,1419,374,7204
